"Age","WA_Tjul","WAPLS_Tjul","MAT_Tjul","RF_Tjul","ERT_Tjul","BRT_Tjul","WA_Tjan","WAPLS_Tjan","MAT_Tjan","RF_Tjan","ERT_Tjan","BRT_Tjan","MinDist"
6582,16.5272146487252,17.6043942859889,16.4062957567624,15.753118,16.1417641666667,17.5529002110187,-4.53744242454017,-4.24374356309706,-8.11733871062897,-4.99323816666667,-6.05335716666666,-5.42183740112639,13.3205441836487
6686,16.5129040442597,17.6056539450862,16.2841296046091,15.9370126666667,16.1138263333333,17.7714807855274,-4.77838599967391,-4.64794470726601,-6.42359377524396,-5.13096666666667,-6.13750766666666,-5.67351280580294,13.7394905656952
6789,16.5461697000261,17.3226213411741,15.978576525506,15.8701006666667,15.9199173333333,17.5408015370477,-3.59149699268137,-4.36884786904472,-7.74195239177947,-5.2700325,-6.03005233333333,-4.94986741539866,12.2058800431308
6891,16.5742836118835,18.8479034373474,16.0648513398415,15.5207535,15.8262306666667,17.6528291144653,-4.34984665755301,-3.76789685598442,-6.6395072578721,-5.82104066666667,-6.406041,-6.29696567512944,20.7173009506037
7016,16.5656430056438,18.4484918595439,15.7934542134812,15.950009,16.0528475,17.6646548322445,-4.5665806169234,-4.55462003863334,-7.07403904396151,-4.65957366666667,-5.790371,-5.35422465803748,17.127846369325
7091,16.5152444303806,17.8812722343684,16.0704008419166,15.95355,16.094793,17.3062824171184,-4.37834229669263,-3.97709684077354,-6.66453157776535,-4.7619745,-5.669529,-5.09192544667164,15.2544313745736
7188,16.5339840520198,17.7171688740961,16.0653943088309,15.858601,15.8083681666667,17.1870994909124,-4.15240252692747,-4.13065975025477,-6.63229882138474,-4.55369383333333,-5.41620483333333,-4.77287082155939,16.9209750012064
7284,16.5182712291873,17.9385269118177,15.5515134977649,15.93016,16.0196123333333,17.3678255897762,-4.34053294210774,-3.92966431117672,-6.53539769368729,-4.43395566666667,-5.4134405,-5.28116934600348,15.6852015293002
7378,16.5737147814562,17.9641287199965,16.4728409460937,16.0886503333333,16.253846,16.9312694412581,-3.52946609483451,-3.03989301216641,-6.90172097165357,-4.36480716666667,-5.21668799999999,-4.60806384188681,15.5254296501566
7471,16.5508269307479,18.3710213539771,16.3514322389182,15.9395393333333,16.1219103333333,17.3161244729211,-4.75773392757554,-4.68636385408637,-7.68378383295428,-5.6302215,-5.97798366666666,-5.23907064016155,15.3033623213793
7562,16.5530349706647,18.0565620754845,16.2877216575342,16.0151048333333,16.0537641666667,16.407737736843,-3.85008791110034,-3.50337324737136,-6.43038479107824,-4.8119305,-5.47323583333333,-5.30563271767917,15.8854415262461
